subject,year_from,year_to,topic_id,words
cs,2000,2001,34,"marketers, anticompetitive, clickstream, websites, consumer, metasites, shopbots, consumers, pets, corp"
cs,2000,2001,44,"grep, observable, vaps, baird, pomdps, partially, reimplement, markovian, stigmergic, sarsa"
cs,2000,2001,56,"transitive, closure, mantaining, reevaluating, amortized, subquadratic, casting, deletions, updates, breaks"
cs,2000,2001,81,"extremal, rcd, ot, smolensky, tesar, optp, conp, beats, ranking, derivational"
cs,2000,2001,86,"chromosomes, gene, transposition, recombination, multiplexer, ramified, expression, genome, genotype, creation"
cs,2000,2001,94,"listings, listing, seller, sellers, ebay, visitors, revenues, percent, website, yahoo"
cs,2000,2001,111,"vitanyi, texbook, verlag, springer, randomness, essay, li, scattered, 2nd, ed"
cs,2000,2001,152,"neurons, attractor, arbitrarily, feed, internal, generalized, relating, conjecture, allowed, characteristic"
cs,2000,2001,160,"spectrum, terrestrial, rights, businessmen, satellite, wireline, forbids, fcc, applicants, definitive"
cs,2000,2001,164,"jumps, hammock, jump, relating, artifact, movie, emphasizes, recommender, ratings, connect"
cs,2000,2001,182,"dependence, architectural, dependences, reengineering, software, accumulated, reusing, going, receiving, rather"
cs,2001,2002,32,"delta, cylinder, tuples, probabilities, uniquely, variables, vc, grows, linearly, sample"
cs,2001,2002,45,"asgs, secret, dealer, pvss, nonexistent, sharing, him, joining, know, owner"
cs,2001,2002,47,"mining, pockets, scarce, jordan, interleaves, aircraft, deemed, determination, advantageous, clarify"
cs,2001,2002,52,"rsanns, repertoire, disorder, rsann, limit, cycle, criticality, threshold, excitatory, inhibitory"
cs,2001,2002,53,"turbine, gas, technicians, engine, aircraft, sensitive, contextsensitive, weather, normalization, learner"
cs,2001,2002,58,"broadband, fractional, derivative, fem, absorption, absorptions, viscoelastic, readily, acoustics, ultrasound"
cs,2001,2002,59,"yung, franklin, multicast, waarts, desmedt, dolev, goldwasser, secure, wright, goldreich"
cs,2001,2002,65,"unrescaled, rescaled, rescaling, normalize, dependent, filtered, spectra, invertible, illustrated, transformations"
cs,2001,2002,70,"weaves, threads, sweep3d, ordinates, weaved, neutron, koch, elf, oop, superset"
cs,2001,2002,80,"dominating, prospective, reduction, rules, seems, cope, undirected, planar, dealing, preprocessing"
cs,2001,2002,82,"motivation, adjustment, claimed, stimuli, vr, purposes, modification, authors, discussed, selection"
cs,2001,2002,93,"quantizer, zador, kashyap, neuhoff, a15, formula, tilings, periodic, quantizers, voronoi"
cs,2001,2002,95,"numeric, mining, symbolic, prevail, overviews, financial, relational, glance, looks, dominate"
cs,2001,2002,97,"unorganized, tangent, manifold, eigendecomposition, nonlinear, neighborhood, spaces, curves, manifolds, affine"
cs,2001,2002,101,"analogue, evolved, readily, brings, depends, connectivity, description, qualitative, evolution, dynamically"
