subject,topic_id,top_words
cs,0,"knowledge, reasoning, question, language, concept, answer, capability, ability, benchmark, context, human, domain, understanding, interpretability, interpretable, cognitive, step, evidence, structured, inference"
cs,1,"algorithm, optimal, approximation, gpt, complexity, matching, cost, linear, efficient, regret, heuristic, approximate, instance, set, setting, bound, ris, factor, ratio, bandit"
cs,2,"human, interaction, recognition, body, activity, hand, alignment, person, virtual, subject, movement, people, pattern, participant, behavior, pedestrian, skeleton, machine, gesture, physical"
cs,3,"image, segmentation, detection, dataset, reconstruction, cnn, view, quality, scene, depth, region, multi, pixel, map, detector, object_detection, patch, mask, convolutional_neural_network, camera"
cs,4,"prediction, diffusion, series, datum, forecasting, pattern, predictive, social_medium, score, post, dynamic, weather, accurate, change, predictor, dataset, modeling, event, drone, long_term"
cs,5,"agent, multi, action, environment, reinforcement_learning, behavior, learning, dynamic, planning, expert, scenario, real_world, exploration, policy, goal, interaction, demonstration, reward, multi_modal, reinforcement"
cs,6,"network, traffic, node, link, delay, wireless, packet, mobility, mobile, communication, topology, dynamic, routing, service, connectivity, flow, route, delivery, station, path"
cs,7,"semantic, word, entity, relation, embedding, sentence, emotion, extraction, representation, nlp, sentiment, information, expression, emotional, level, context, contextual, linguistic, meaning, corpus"
cs,8,"point, distance, log, space, set, dimension, line, emph, mathcal_mathcal, size, log_log, right, plane, constant, geometric, minimum, frac, mathcal, mathbb_mathbb, dimensional"
cs,9,"datum, privacy, service, client, information, private, server, iot, digital, management, device, technology, access, sensitive, risk, business, public, app, smart, internet"
cs,10,"communication, protocol, message, blockchain, mechanism, consensus, trust, transaction, chain, asynchronous, exchange, fuzzy, party, decentralized, round, synchronization, contract, gaze, agreement, proof"
cs,11,"policy, online, reward, preference, decision, offline, reinforcement_learning, market, risk, optimal, product, financial, price, mechanism, customer, dynamic, strategy, return, cost, allocation"
cs,12,"network, neural_network, deep, layer, architecture, neural, deep_learning, training, weight, accuracy, input, activation, convolutional, net, convolution, output, classification, residual, pruning, structure"
