subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.322067,0.677933,"knowledge, reasoning, belief_revision, answer, belief, concept, domain, nonmonotonic, ontology, resettable, snep, abduction, abductive, ansprolog, cognition, communicative, conceptual, connectionist, dempster_shafer, des, entailment, icmaus, information, jackendoff, liar, metaconflict, piece, proof, qaviar, question, requ, rkf, sources, subcognitive, symbolic, temiar, tilde, treillis","knowledge, ontology, ontological, commonsense, language, semantic, conceptual, hyperset, natural_language, theory, ansprolog, bare, biomedical, bisimulation, bpk, category, cognitive, cognizer, compositional, concept, conscious, delta, des, domain, hypermedia, intension, kra, mathematical, provenance, reasoning, requ, resettable, semi, semiosis, sources, structured, treillis"
cs,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.543227,0.456773,"knowledge, ontology, ontological, commonsense, language, semantic, conceptual, hyperset, natural_language, theory, ansprolog, bare, biomedical, bisimulation, bpk, category, cognitive, cognizer, compositional, concept, conscious, delta, des, domain, hypermedia, intension, kra, mathematical, provenance, reasoning, requ, resettable, semi, semiosis, sources, structured, treillis","knowledge, ontology, semantic, reasoning, theory, belief, concept, human, kra, language, logic, answer, ckml, competence, domain, hyperset, information, intelligence, kd45, koss, mathematical, ontological, owl_ontology, patrol, provenance, question, rbr, suo, talplanner, wiring, ytex"
cs,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.365215,0.634785,"knowledge, ontology, semantic, reasoning, theory, belief, concept, human, kra, language, logic, answer, ckml, competence, domain, hyperset, information, intelligence, kd45, koss, mathematical, ontological, owl_ontology, patrol, provenance, question, rbr, suo, talplanner, wiring, ytex","answer, concept, knowledge, question, reasoning, ontology, dataset, cognitive, visual, commonsense, image, semantic, domain, graph, human, koss, language, logic, passage, radar, vqa"
cs,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.628352,0.371648,"answer, concept, knowledge, question, reasoning, ontology, dataset, cognitive, visual, commonsense, image, semantic, domain, graph, human, koss, language, logic, passage, radar, vqa","answer, dataset, human, knowledge, language, question, reasoning, commonsense, concept, graph, llm, benchmark, capability, ontology"
cs,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.614187,0.385813,"algorithm, approximation, complexity, quantum, bad, optimal, bid, bidder, bidding, epsilon, polynomial, string, linear, bound, cost, dpll, error, floyd_rivest, gotool, heuristic, mst, pseudoknot, sort","algorithm, approximation, linear, optimal, polynomial, complexity, matching, graph, set, epsilon, applicant, approximate, bound, cost, edge, factor, gossip, heuristic, lada, max, node, stable_marriage, strip_packing, trinomial, vertex"
cs,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.766214,0.233786,"algorithm, approximation, linear, optimal, polynomial, complexity, matching, graph, set, epsilon, applicant, approximate, bound, cost, edge, factor, gossip, heuristic, lada, max, node, stable_marriage, strip_packing, trinomial, vertex","algorithm, approximation, graph, optimal, set, polynomial, cost, complexity, matching, network, bound, factor, function, linear, regret, ratio, stable_marriage"
cs,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.834387,0.165613,"algorithm, approximation, graph, optimal, set, polynomial, cost, complexity, matching, network, bound, factor, function, linear, regret, ratio, stable_marriage","algorithm, approximation, graph, optimal, complexity, cost, function, bandit, set, linear, regret, arm, factor, log_log, matching, network, online, polynomial"
cs,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.765315,0.234685,"algorithm, approximation, graph, optimal, complexity, cost, function, bandit, set, linear, regret, arm, factor, log_log, matching, network, online, polynomial","algorithm, approximation, bandit, graph, online, optimal, regret, arm, function, matching, linear, bound, complexity, varepsilon"
cs,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.252665,0.747335,"gesture, recognition, speech, coverbal, nontransitivity, robot, tape, ulysse, interaction, oracle, timetabling, virtual, attribute, cooccurrence, engagement, erobot, formulation, hand_gesture, hci, human, imagery, kinematical, mental, motion_capture, motor, multifingered, neurocomputer, nontransitive, particle, pattern, recursion, sensory, verbal, vrml, world","human, recognition, disability, interaction, mind, people, semiotic, speech, voip, computer, devnagari_character, emotional, engagement, erg, feret, gesture, hypervisor, iarcuri, iris, keyboard, living, manikin, manning, map, melanin, motion_capture, motor, nir, pad, particle, passivity, person, physiology, pronoun, reflexive, rgt, robot, semotic, sensory, synthesizer, tape, text, unconscious, verb, voice, xen"
cs,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.459281,0.540719,"human, recognition, disability, interaction, mind, people, semiotic, speech, voip, computer, devnagari_character, emotional, engagement, erg, feret, gesture, hypervisor, iarcuri, iris, keyboard, living, manikin, manning, map, melanin, motion_capture, motor, nir, pad, particle, passivity, person, physiology, pronoun, reflexive, rgt, robot, semotic, sensory, synthesizer, tape, text, unconscious, verb, voice, xen","human, gesture, interaction, kinect, haptic, recognition, bci, body, devnagari_character, emotional, guide, hand_gesture, hypervisor, movement, pad, reflexive, rgt, social, virtual, xen, activity, erg, ergonomic, hand, left_right, mental, people, wearable"
