subject,year_from,year_to,topic_id,category,best_match_topic,best_match_sim,words
physics,2000,2001,0,stable,0,0.743736,"gps, tec, upheaval, ionospheric, ionosphere, auroral, globdet, geomagnetic, radiocarbon, eclipse"
physics,2000,2001,1,stable,1,0.712389,"maser, cpt, violation, zeeman, lorentz, hfs, parity, ortho, lamb, hydrogen"
physics,2000,2001,2,stable,2,0.643186,"nanographite, stacking, onsite, antiferromagnetic, esr, zigzag, magnetism, hubbard, sheet, repulsion"
physics,2000,2001,3,evolve,3,0.137026,"pseudosphere, induction, mshg, iqhe, unipolar, dwarf, remnant, exception, magnetic, faraday"
physics,2000,2001,4,stable,4,0.619253,"intercenter, coloumb, burnett, shillady, multiresolution, wiggler, matrix, micromaser, singularity, gfd"
physics,2000,2001,6,stable,6,0.572059,"snowtron, overdense, eta, guiding, picosecond, znse, automodulation, sase, intense, litao"
physics,2000,2001,7,evolve,7,0.379861,"loma, prieta, log, slice, multiplicative, periodicity, heartbeat, ancestor, ergodic, interval"
physics,2000,2001,8,evolve,8,0.170284,"attraction, body, coulomb, alpha, grounded, wavefunction, dlvo, estimated, colloid, casimir"
physics,2000,2001,9,stable,9,0.781687,"purification, creek, river, reactant, boyne, gta, neglecting, drinking, slowing, reaction"
physics,2000,2001,10,stable,10,0.666436,"condensate, evaporative, pitaevskii, bose, trap, gross, cooling, cesium, 10muk, 300nk"
physics,2000,2001,11,stable,11,0.825212,"mpc, mnf, occultation, sight, lfi, confidence, magnetothermopower, sodium, compression, nernst"
physics,2000,2001,12,evolve,12,0.476136,"recombination, semiclassical, franck, slew, cch4, znp, breather, condon, ionization, jayne"
physics,2000,2001,13,stable,13,0.680548,"option, volatility, arbitrage, vanilla, dividend, hiv, transaction, shold, pricing, price"
physics,2000,2001,14,stable,14,0.518394,"airix, microarray, eeg, neocortical, cmi, smni, bayesian, nonparametric, gene, asa"
physics,2000,2001,15,evolve,15,0.480847,"eia, gallium, reflectivity, sonoluminescence, metallization, excimer, fluorescence, continua, endpoint, xe2"
physics,2000,2001,16,stable,16,0.731432,"slope, methanol, fused, hydration, silica, caliper, drainage, basin, detergent, river"
physics,2000,2001,17,evolve,17,0.250343,"meitner, egelhaaf, scientist, patricia, fly, lise, rife, hyperspace, course, psychology"
physics,2000,2001,18,stable,18,0.904162,"adder, polyphase, inductive, graneau, igbt, pulser, modulator, klystron, usec, wire"
physics,2000,2001,20,stable,20,0.814261,"autoclient, pms1, mflop, solaris, pms, babar, microsystem, cachef, server, mssm"
physics,2000,2001,21,evolve,21,0.330628,"twiston, eigenfunction, chaos, neocortical, spaciotemporal, symplectization, fractal, moduli, rationale, strange"
physics,2000,2001,22,stable,22,0.751187,"axonemal, hair, actin, bundle, bacteria, swarming, szent, gyorgyi, excitable, filament"
physics,2000,2001,23,disappear,0,0.0,"npro, inversionless, flop, rdds1, washer, biperiodic, leak, saturable, ringing, sideband"
physics,2000,2001,24,stable,24,0.803176,"linac, rfq, emittance, bunch, nlc, beam, leda, injector, collider, buncher"
physics,2000,2001,26,stable,26,0.612126,"dna, determinative, pyrimidine, purine, tract, codon, genetic, sequence, ligand, strand"
physics,2000,2001,27,stable,27,0.589691,"lamellar, onion, polymer, titration, sbsl, mdl, lipid, cmc, brush, cac"
physics,2000,2001,28,evolve,28,0.463594,"breather, maw, phi, nekrasov, grating, superluminal, mcleod, crest, amplitude, whistler"
physics,2000,2001,29,stable,29,0.555719,"deuteron, collider, gamma, muon, pickoff, hadron, gammagamma, positron, si28, aiiibv"
physics,2000,2001,30,stable,30,0.74175,"3s4s, 3s3p, pef, pm0, diffuse, reponse, juice, moisture, faradaic, butler"
physics,2000,2001,32,evolve,32,0.482227,"weizsacker, williams, emissivity, cerenkov, radiation, quanta, undulator, synchrotron, elementary, extended"
physics,2000,2001,33,stable,33,0.711194,"superheated, pbar, neutron, r12, drop, sdd, neutrino, spectromer, freon22, 3ci"
physics,2000,2001,34,stable,34,0.776432,"fracture, affine, ihhomogeneous, kafesaki, penciu, cube, aperture, concavo, bispherical, tracer"
physics,2000,2001,35,evolve,35,0.473912,"pointer, tubulin, entanglement, teleportation, microtubule, bell, mts, chromodynamic, weltdrama, inequality"
physics,2000,2001,36,stable,36,0.705216,"quermass, hamming, yeast, linkage, boolean, 65k, morphometry, gene, reversible, expression"
physics,2000,2001,37,stable,37,0.834779,"asexual, mutation, fitness, landscpe, sex, stauffer, penna, moseley, jan, copying"
physics,2000,2001,38,stable,38,0.582227,"burger, exponent, ultrasoft, anomalous, k41, stico, desenvolvida, todos, turbul, ast"
physics,2000,2001,39,evolve,39,0.399997,"cal, roller, couette, loopless, attractor, quasigeostrophic, nonwetting, drainage, topography, laminar"
physics,2000,2001,40,stable,40,0.62112,"multiresolution, wavelet, soliton, rms, brain, synaptic, incoherent, excitatory, envelope, nonlinear"
physics,2000,2001,41,evolve,41,0.309026,"cluster, cscl, isoelectronium, hcth, tlh, shillady, santilli, 1s2p, dzugutov, shell"
physics,2000,2001,43,stable,43,0.852212,"alpha, overtone, naked, pulsational, kundt, sunlight, logarithms, hydrodynamical, abdus, positronium"
physics,2000,2001,44,evolve,44,0.252676,"infallible, ruth, gun, electromigration, 6th, algorithm, sobolev, grooving, symplectic, aps"
physics,2000,2001,45,stable,45,0.704096,"e791, circulator, shower, epic, pixel, board, mos, sim15, xmm, mhz"
physics,2000,2001,46,evolve,46,0.301181,"gott, spike, cause, erps, mankind, epr, humanity, neocortical, doomsday, horne"
physics,2000,2001,47,evolve,47,0.436229,"cal, voltammogram, disordering, necrosis, superheat, lbrack, rbrack, nonequilibrium, bromine, nabla"
physics,2000,2001,48,stable,48,0.564153,"cir, plasma, lyman, reconnection, saltpeter, flashboard, 2kt, beta, alfven, bow"
physics,2000,2001,49,stable,49,0.606147,"relativity, observer, spacetime, hmw, gravitation, simultaneity, string, lorentz, quantization, gravitational"
physics,2001,2002,0,stable,0,0.708086,"gps, tec, ionospheric, upheaval, geomagnetic, izana, ionosphere, cloud, disturbance, altitude"
physics,2001,2002,1,stable,1,0.604657,"maser, cpt, parity, violation, anapole, zeeman, nonconservation, lorentz, hyperfine, fine"
physics,2001,2002,2,stable,2,0.531008,"nanographite, zigzag, stacking, cgle, onsite, magnetism, cooper, stop, antiferromagnetic, mini"
physics,2001,2002,3,evolve,3,0.381241,"supergenerator, 2ba, jpr, pseudosphere, monopole, outermost, superparamagnetic, tesla1, hock, magnetic"
physics,2001,2002,4,evolve,4,0.394317,"matrix, intercenter, coloumb, burnett, shillady, exact, schroedinger, multiresolution, wavelet, wiggler"
physics,2001,2002,5,stable,5,0.874716,"lens, inexpensive, working, fluorescence, cesium, objective, monochromatic, focal, magneto, aperture"
physics,2001,2002,6,evolve,6,0.375628,"snowtron, undulator, vfel, overdense, bent, picosecond, intense, eta, guiding, laser"
physics,2001,2002,7,evolve,7,0.22738,"interval, trend, exponent, prieta, loma, multiplicative, heartbeat, heart, fluctuation, log"
physics,2001,2002,8,stable,8,0.690353,"boson, body, ucom, fermion, bose, collapse, pitaevskii, condensate, unitary, gross"
physics,2001,2002,9,stable,9,0.603236,"purification, creek, glutamine, river, reactant, boyne, gta, fmol, fxa, reaction"
physics,2001,2002,10,stable,10,0.734786,"condensate, bose, trap, photoassociation, evaporative, atom, cesium, pitaevskii, tropomyosin, cooling"
physics,2001,2002,11,evolve,11,0.217086,"mpc, mnf, etoile, occultation, sight, lfi, confidence, preamplifier, magnetothermopower, sodium"
physics,2001,2002,12,evolve,12,0.433318,"recombination, ionization, dendrimer, methane, semiclassical, exciton, photoabsorption, excited, franck, slew"
physics,2001,2002,13,stable,13,0.674336,"option, pricing, hiv, volatility, price, arbitrage, vanilla, senescence, viremia, dividend"
physics,2001,2002,14,evolve,14,0.470131,"microarray, gene, database, airix, server, eeg, bayesian, vepp, neocortical, cmi"
physics,2001,2002,15,evolve,15,0.159966,"gallium, stfs, chloronitrobenzene, eia, para, reflectivity, sonoluminescence, metallization, dibromobenzene, excimer"
physics,2001,2002,16,evolve,16,0.066937,"slope, clusterphilic, methanol, knob, fused, hydration, silica, caliper, drainage, basin"
physics,2001,2002,17,evolve,17,0.049504,"java, meitner, cristal, corba, egelhaaf, puranic, alma, ual, preprint, wavelet"
physics,2001,2002,18,disappear,0,0.0,"adder, polyphase, inductive, graneau, igbt, pulser, controller, modulator, klystron, transformer"
physics,2001,2002,19,evolve,19,0.278964,"iwasawa, cutoff, multilayer, mask, frenkel, intrusion, undestanding, affine, transmittivity, overgrowth"
physics,2001,2002,20,stable,20,0.507506,"autoclient, pms1, mflop, solaris, camac, lcw, pms, babar, microsystem, slac"
physics,2001,2002,21,evolve,21,0.267094,"naschie, chaos, twiston, topodynamic, eigenfunction, perplin, heterotic, transfinite, dome, attractor"
physics,2001,2002,22,evolve,22,0.305836,"axonemal, hair, actin, bundle, spicule, motor, cell, excitable, bacteria, permissive"
physics,2001,2002,23,evolve,23,0.207551,"cochlear, centro, cavity, waveguide, perot, fabry, finesse, opo, doppler, divid"
physics,2001,2002,24,stable,24,0.635353,"linac, nlc, rfq, bunch, emittance, beam, accelerator, collider, spear, injector"
physics,2001,2002,25,evolve,25,0.241725,"mlv, docna, 3kj, lecithin, yolk, dppc, liposome, mol, egg, turbidi"
physics,2001,2002,26,stable,26,0.571201,"dna, codon, genetic, tract, sequence, amino, gene, determinative, flocculation, pyrimidine"
physics,2001,2002,27,evolve,27,0.316597,"lamellar, macroion, polymer, onion, lipid, surfactant, sucrose, drop, peptide, titration"
physics,2001,2002,28,evolve,28,0.48591,"irregularity, superluminal, breather, maw, phi, attenuation, extraordinary, grating, nekrasov, wave"
physics,2001,2002,29,evolve,29,0.118801,"collider, muon, gev, gamma, bilepton, positron, deuteron, lepton, hadron, pickoff"
physics,2001,2002,30,evolve,30,0.440568,"3s4s, 3s3p, pef, xmg, pm0, cdotnm, diffuse, magnegase, mantle, reponse"
physics,2001,2002,31,evolve,31,0.373928,"deformable, default, polygonal, wavefront, projection, fault, sparc, vertex, flashlamp, vxwork"
physics,2001,2002,32,stable,32,0.633216,"meteoroid, weizsacker, williams, satellite, emissivity, interference, radiation, cerenkov, regular, microwave"
physics,2001,2002,33,evolve,33,0.375168,"superheated, pbar, neutron, neutrino, supernova, livetime, eev, r12, enigma, drop"
physics,2001,2002,34,evolve,34,0.270284,"fracture, affine, nihility, xsw, ihhomogeneous, penciu, kafesaki, cube, aperture, bispherical"
physics,2001,2002,35,evolve,35,0.270284,"teleportation, pointer, entanglement, arnol, tubulin, vibronic, qubit, cryptography, tfrcar, disentanglement"
physics,2001,2002,36,evolve,36,0.442991,"quermass, hamming, yeast, microobject, gigabit, fddi, linkage, ethernet, boolean, 65k"
physics,2001,2002,37,stable,37,0.836199,"asexual, mutation, fitness, sex, sexual, deleterious, stauffer, landscpe, moseley, jan"
physics,2001,2002,38,evolve,38,0.449052,"burger, turbulence, exponent, kolmogorov, k41, intermittency, anomalous, ultrasoft, hyperdiffusivity, lambda"
physics,2001,2002,39,evolve,39,0.270905,"quasigeostrophic, cal, flow, fouxon, ekman, roller, couette, spot, fluid, topography"
physics,2001,2002,40,stable,40,0.523948,"multiresolution, wavelet, biopolymer, soliton, buckling, envelope, chain, semiflexible, nonlinear, catastrophe"
physics,2001,2002,41,evolve,41,0.370905,"cluster, helium, jellium, hof, fock, grecp, hartree, affinity, calculation, cscl"
physics,2001,2002,43,stable,43,0.51437,"alpha, overtone, naked, aryabhata, pulsational, kundt, sunlight, kepler, logarithms, hydrodynamical"
physics,2001,2002,44,evolve,44,0.270626,"systolic, xml, processor, algorithm, infallible, ruth, tanaka, sec, graphical, gun"
physics,2001,2002,45,stable,45,0.574869,"epic, e791, circulator, pixel, shower, vme, board, mos, sim15, ccd"
physics,2001,2002,46,evolve,46,0.066937,"algorithmic, complexity, gott, strange, spike, consciousness, cause, diet, information, erps"
physics,2001,2002,47,evolve,47,0.425664,"cal, jpr, maw, josephson, cgle, voltammogram, nonequilibrium, disordering, docna, microcanonical"
physics,2001,2002,48,evolve,48,0.350964,"cir, plasma, alfven, llfs, reconnection, bgk, ehs, abel, petschek, roll"
physics,2001,2002,49,stable,49,0.742945,"relativity, gravitational, lorentz, universe, spacetime, gravitation, observer, fractionalization, quantization, brane"
physics,2002,2003,0,evolve,0,0.37888,"tec, gps, ionospheric, cloud, aerosol, geomagnetic, altitude, disturbance, upheaval, tecs"
physics,2002,2003,1,evolve,1,0.413119,"nonconservation, parity, maser, cpt, hyperfine, violation, fine, anapole, schiff, 5d6s"
physics,2002,2003,2,stable,2,0.564378,"cpbg, nanographite, zigzag, stacking, cgle, blende, onsite, 3rd, 2nd, nanonetwork"
physics,2002,2003,3,evolve,3,0.149204,"monopole, alanine, supergenerator, dynamo, 2ba, magnetic, jpr, theta, magneto, precession"
physics,2002,2003,4,evolve,4,0.410309,"matrix, exact, schroedinger, perturbative, quasiparaxial, writhe, integral, singular, expansion, wouthuysen"
physics,2002,2003,5,evolve,1,0.049504,"lens, inexpensive, ibvd, working, fluorescence, cesium, objective, monochromatic, focal, magneto"
physics,2002,2003,6,stable,6,0.688103,"undulator, vfel, sase, fel, snowtron, ultrashort, pulse, megagauss, cpxr, attophysic"
physics,2002,2003,7,evolve,7,0.331277,"sleep, interval, multifractal, heartbeat, fractal, qme, volatility, dfa, series, rem"
