subject,topic_id,window,win_start,win_end,top_words,n_words
cs,0,2000–2005,2000,2005,"graphs, graph, log, planar, coloring, problem, bhlevel, bits, connected, constriction, convex, crease, crossing, csp, delaunay, edges, eps, equiv, exactcolor, flipturn, flipturns, geq, gg, gi, hbox, hh, hinged, iso, jones, minimum, motwani, np, packing, perfect, polygon, polygons, polyhedra, polylog, rectilinear, rm, spanning, ssss, tree, triconnected, uc, vec, venn, vrn",48
cs,0,2005–2010,2005,2010,"graphs, graph, problem, vertices, algorithm, digraph, polynomial, vertex, approximation, cal, chordal, coloring, constriction, convex, delaunay, edges, forests, gg, girth, hamiltonian, hh, if, ij, isomorphism, jones, kolam, linear, ln, log, np, packing, paz, perfect, planar, rr, steiner, strip, tree, venn, voronoi",40
cs,0,2010–2015,2010,2015,"graph, graphs, vertex, vertices, gg, log, problem, algorithm, coloring, edge, edges, set, tree, approximation, cal, dominating, kk, maximum, number, planar, steiner, width",22
cs,0,2015–2020,2015,2020,"gg, graph, graphs, log, vertex, vertices, problem, kk, edges, edge, mathcal, planar, approximation, cal, coloring, frac, hh, width",18
cs,0,2020–2025,2020,2025,"gg, graph, graphs, kk, log, vertex, vertices, problem, mathcal, varepsilon, algorithm, approximation, cal, coloring, frac, hh",16
cs,1,2000–2005,2000,2005,"classical, quantum, complexity, entanglement, bound, classically, coin, lower, protocols, states, 2q1cas, arthur, automata, bit, commitment, communication, computability, computation, coset, fermionic, flipping, gates, group, mechanics, merlin, message, mistrustful, noncomputable, nondeterministic, oblivious, ph, povm, proofs, protocol, qma, qpa, quant, reversible, subgroup, tenth",40
cs,1,2005–2010,2005,2010,"quantum, classical, entanglement, gates, reversible, adder, circuits, gate, states, 2qfa, alice, arthur, attack, bcd, cnot, conditional, coset, eigen, ergodic, fredkin, hgasa, mbqc, men, merlin, message, nonlocality, pfaffian, protocol, provers, qber, qis, qml, qrl, secret, sharing, signaling, signalling, stoquastic, subgroup, toffoli, tsg, xml",42
cs,1,2010–2015,2010,2015,"classical, quantum, entanglement, reversible, capacity, channel, circuits, communication, protocol, qubits, adder, arthur, bell, channels, clifford, computation, cryptography, entangled, gate, gates, hart, hidden, inequalities, lmo, merlin, mip, multicarrier, pcp, pfaffian, pnueli, qca, qkd, renyi, secure, security, sharir, signalling, squashed, states, unforgeable",40
cs,1,2015–2020,2015,2020,"classical, quantum, qubits, states, circuits, reversible, entanglement, communication, mip, qubit, arthur, channel, circuit, clifford, complexity, computation, computers, computing, distinguishability, encryption, entangled, entropy, exact, gate, inequalities, mathsf, protocol, qke, qrng, renyi, unforgeable",31
cs,1,2020–2025,2020,2025,"circuits, classical, computing, quantum, qubit, qubits, circuit, entanglement, computers, states, algorithms, gates, mathsf, mip, qaoa, qkd",16
cs,2,2000–2005,2000,2005,,0
cs,2,2005–2010,2005,2010,"annotated, annotation, annotations, imagined, incomplete, keywords, loose, loosely, plsa, poured",10
cs,2,2010–2015,2010,2015,"image, tags, verbally, adjectives, bimodal, captions, coco, constructing, describe, description, descriptions, dissimilarities, expressions, gist, gram, grounded, icml, implemented, labels, meanings, modal, multimodal, pairwise, parsing, phrases, questions, referents, referring, representations, represented, scenes, sentence, supplied, tag, visual, visually, words",37
cs,2,2015–2020,2015,2020,"image, visual, captioning, vqa, captions, question, answering, questions, caption, modal, aog, attention, coco, cross, description, descriptions, gram, hashtag, images, language, mcb, media, multimodal, object, objects, phrases, reasoning, relationships, riddles, sentence",30
