subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
physics,0,2000,2025,26,0.0,1.0,"electron, beam, structure, energy, effect, field, measurement, weak, theory, ion","datum, prediction, optimization, domain, capability, spectra, quality, fast, diffusion, technology"
physics,1,2000,2025,26,0.0,1.0,"beam, energy, theory, measurement, source, motion, principle, electron, wave, experimental","size, order, gas, event, network, coherent, environment, test, boundary, standard"
physics,2,2000,2025,26,0.0,1.0,"energy, field, beam, effect, transition, multi, phase, theory, wave, structure","dimensional, liquid, standard, formation, factor, speed, atomic, capability, step, temporal"
physics,3,2000,2025,26,0.0,1.0,"beam, energy, field, particle, phase, effect, structure, space, laser, linear","frequency, regime, tool, spectral, point, pattern, calculation, growth, stability, change"
physics,4,2000,2025,26,0.135416,0.864584,"beam, quantum, energy, mode, electron, effect, term, field, dynamic, phase","quantum, spin, classical, calculation, insight, chemical, contrast, target, channel, band"
physics,5,2000,2025,26,0.0,1.0,"beam, energy, dynamic, nonlinear, frequency, field, quantum, structure, order, magnetic_field","control, interface, charge, traditional, size, response, speed, term, principle, mechanical"
physics,6,2000,2025,26,0.0,1.0,"beam, theory, space, energy, field, effect, particle, interaction, phase, linac","electron, velocity, force, point, boundary, theoretical, ratio, speed, turbulent, amplitude"
physics,7,2000,2025,26,0.0,1.0,"energy, particle, beam, theory, dynamic, electron, atom, datum, level, cavity","scheme, event, specific, active, change, radiation, principle, point, capability, electronic"
physics,8,2000,2025,26,0.0,1.0,"beam, function, ion, wave, electron, energy, field, quantum, dynamic, space","image, emission, imaging, development, direction, speed, ray, essential, variable, optical"
physics,9,2000,2025,26,0.022228,0.977772,"energy, field, distribution, beam, theory, particle, atom, size, effect, structure","physics, design, local, pattern, formation, algorithm, theory, limit, imaging, kinetic"
physics,10,2000,2025,26,0.014636,0.985364,"beam, field, self, theory, source, energy, structure, dynamic, space, frequency","phase, distribution, way, coefficient, dynamic, factor, ratio, point, stability, pressure"
physics,11,2000,2025,26,0.022228,0.977772,"energy, beam, electron, space, structure, quantum, particle, property, lifetime, atom","pulse, particle, test, linear, molecule, impact, classical, response, insight, principle"
physics,12,2000,2025,26,0.0,1.0,"ion, energy, electron, dynamic, beam, quantum, particle, atom, frequency, oscillation","space, accuracy, transition, strong, photon, transport, nonlinear, wave, flux, region"
physics,13,2000,2025,26,0.0,1.0,"field, effect, structure, energy, calculation, wave, electron, quantum, particle, function","physical, detector, turbulence, free, fundamental, effective, limit, flux, non, factor"
