subject,best_model,min_docs,ngram_range,max_features,n_topics,coherence,irbo,topic_quality,time_seconds
cs,all_mpnet_base_v2,10,"(1, 1)",10000.0,585,0.6383532889647161,0.9942375242061808,0.7775062613134822,120.09897780418396
cs,all_mpnet_base_v2,10,"(1, 1)",50000.0,585,0.6084394302972602,0.9949037728192854,0.7550955775190715,115.23744201660156
cs,all_mpnet_base_v2,10,"(1, 1)",,585,0.6078629458313233,0.9949048700322686,0.7546517909340851,114.52457165718079
cs,all_mpnet_base_v2,25,"(1, 1)",10000.0,515,0.6607878200464415,0.9934045860691646,0.7936557373346164,109.59847784042358
cs,all_mpnet_base_v2,25,"(1, 1)",50000.0,515,0.640787581884187,0.9939124504731143,0.7792093218824881,106.7404375076294
cs,all_mpnet_base_v2,25,"(1, 1)",,515,0.6403814847547493,0.9939093591558865,0.7789080500632739,107.2736132144928
cs,all_mpnet_base_v2,50,"(1, 1)",10000.0,413,0.6796196862305283,0.9923153509061977,0.8067263720316719,95.5837185382843
cs,all_mpnet_base_v2,50,"(1, 1)",50000.0,413,0.673677087679012,0.9924977197660072,0.8025844183689175,94.60945796966553
cs,all_mpnet_base_v2,50,"(1, 1)",,413,0.6736287661301441,0.9924793194375027,0.8025441100021656,96.22233581542969
cs,all_mpnet_base_v2,100,"(1, 1)",10000.0,276,0.6952843055417145,0.9903110718098943,0.8169786782763483,79.13635802268982
cs,all_mpnet_base_v2,100,"(1, 1)",50000.0,276,0.6947734122483429,0.9903132984172529,0.8166266354107813,80.53996419906616
cs,all_mpnet_base_v2,100,"(1, 1)",,276,0.6947379277185439,0.9902754404876601,0.8165892523979394,78.88372468948364
cs,all_mpnet_base_v2,150,"(1, 1)",10000.0,199,0.6883633036050552,0.9875104670167113,0.8112376663211402,69.78724265098572
cs,all_mpnet_base_v2,150,"(1, 1)",50000.0,199,0.6870876080549951,0.9874431245676538,0.8103284308616948,68.63527083396912
cs,all_mpnet_base_v2,150,"(1, 1)",,199,0.6870876080549951,0.9874148227113105,0.810318900919948,70.08880758285522
cs,all_mpnet_base_v2,200,"(1, 1)",10000.0,155,0.6861260746712028,0.9854243990788036,0.808979903865456,74.00557684898376
cs,all_mpnet_base_v2,200,"(1, 1)",50000.0,155,0.6856821885249991,0.9852865834025237,0.8086248745502476,74.05404448509216
cs,all_mpnet_base_v2,200,"(1, 1)",,155,0.6850666381499992,0.9852788488988203,0.8081940770313438,75.85906481742859
cs,all_mpnet_base_v2,250,"(1, 1)",10000.0,122,0.6720505084134022,0.9817121784471335,0.7978897696670725,68.62840151786804
cs,all_mpnet_base_v2,250,"(1, 1)",50000.0,122,0.6701822377795418,0.9815241036902899,0.7965096455073264,67.86536288261414
cs,all_mpnet_base_v2,250,"(1, 1)",,122,0.670015998027867,0.9815237712402153,0.7963921153228722,68.11255931854248
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",10000.0,565,0.6002607428451696,0.9944231937510659,0.748628850572628,66.91156005859375
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",50000.0,565,0.5815404894305012,0.9948410332040556,0.7340105543968607,64.69725608825684
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",,565,0.5812550310608056,0.9948351324841271,0.7337815253702634,64.80518221855164
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",10000.0,497,0.6230939288008903,0.9934168058543942,0.7658371372330639,60.72229290008545
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",50000.0,497,0.6108847873714706,0.9936957695000812,0.7566259262961403,60.482635498046875
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",,497,0.6110025496809405,0.9936885989700773,0.7567141680645836,61.29093289375305
