subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
cs,0,2000–2005,2020–2025,0.28168,0.71832,38,14,6,32,8,15.79,"knowledge, reasoning, belief_revision, answer, belief, concept, domain, nonmonotonic, ontology, resettable, snep, abduction, abductive, ansprolog, cognition, communicative, conceptual, connectionist, dempster_shafer, des, entailment, icmaus, information, jackendoff, liar, metaconflict, piece, proof, qaviar, question, requ, rkf, sources, subcognitive, symbolic, temiar, tilde, treillis","answer, dataset, human, knowledge, language, question, reasoning, commonsense, concept, graph, llm, benchmark, capability, ontology","answer, concept, knowledge, ontology, question, reasoning","benchmark, capability, commonsense, dataset, graph, human, language, llm","abduction, abductive, ansprolog, belief, belief_revision, cognition, communicative, conceptual, connectionist, dempster_shafer, des, domain, entailment, icmaus, information, jackendoff, liar, metaconflict, nonmonotonic, piece"
cs,1,2000–2005,2020–2025,0.540057,0.459943,23,14,6,17,8,26.09,"algorithm, approximation, complexity, quantum, bad, optimal, bid, bidder, bidding, epsilon, polynomial, string, linear, bound, cost, dpll, error, floyd_rivest, gotool, heuristic, mst, pseudoknot, sort","algorithm, approximation, bandit, graph, online, optimal, regret, arm, function, matching, linear, bound, complexity, varepsilon","algorithm, approximation, bound, complexity, linear, optimal","arm, bandit, function, graph, matching, online, regret, varepsilon","bad, bid, bidder, bidding, cost, dpll, epsilon, error, floyd_rivest, gotool, heuristic, mst, polynomial, pseudoknot, quantum, sort, string"
cs,2,2000–2005,2020–2025,0.273893,0.726107,35,15,6,29,9,17.14,"gesture, recognition, speech, coverbal, nontransitivity, robot, tape, ulysse, interaction, oracle, timetabling, virtual, attribute, cooccurrence, engagement, erobot, formulation, hand_gesture, hci, human, imagery, kinematical, mental, motion_capture, motor, multifingered, neurocomputer, nontransitive, particle, pattern, recursion, sensory, verbal, vrml, world","activity, body, gesture, human, interaction, recognition, robot, dataset, movement, motion, avatar, hand, llm, person, virtual","gesture, human, interaction, recognition, robot, virtual","activity, avatar, body, dataset, hand, llm, motion, movement, person","attribute, cooccurrence, coverbal, engagement, erobot, formulation, hand_gesture, hci, imagery, kinematical, mental, motion_capture, motor, multifingered, neurocomputer, nontransitive, nontransitivity, oracle, particle, pattern"
cs,3,2000–2005,2020–2025,0.141761,0.858239,33,15,3,30,12,9.09,"algorithm, color, image, gamut, radial_distortion, bird, camera, cbir, colorimetric, cyborg_astrobiologist, display, parallelepiped, projector, quasiconvex, terminology, undistortion, benchmark, bibliography, bilevel, colour, contour, digital, dramati, extrema, fbt, geological, heteroge, ing, neous, reproduction, segmentation, superresolution, texture","dataset, detection, image, object, scene, segmentation, network, reconstruction, cnn, view, camera, datum, depth, deep, quality","camera, image, segmentation","cnn, dataset, datum, deep, depth, detection, network, object, quality, reconstruction, scene, view","algorithm, benchmark, bibliography, bilevel, bird, cbir, color, colorimetric, colour, contour, cyborg_astrobiologist, digital, display, dramati, extrema, fbt, gamut, geological, heteroge, ing"
cs,4,2000–2005,2020–2025,0.099985,0.900015,38,14,5,33,9,13.16,"alarm, series, causality, freq, noise, rainfall, slab, stock_market, taiwan, win, acute, circ77, correlation, datum, didn, dihedral_angle, dow_jones_industrial, encephalitis, event, forecast, forecaster, forecasting, gambling, heteroskedastic, mar, neutron, oak_ridge, predictable, prediction, predictive, prognosis, routing, selection, skeptic, spallation, strategy, taiex, tick","datum, forecast, forecasting, prediction, series, social_medium, dataset, tweet, covid, diffusion, twitter, weather, deep_learning, network","datum, forecast, forecasting, prediction, series","covid, dataset, deep_learning, diffusion, network, social_medium, tweet, twitter, weather","acute, alarm, causality, circ77, correlation, didn, dihedral_angle, dow_jones_industrial, encephalitis, event, forecaster, freq, gambling, heteroskedastic, mar, neutron, noise, oak_ridge, predictable, predictive"
cs,5,2000–2005,2020–2025,0.417224,0.582776,38,14,6,32,8,15.79,"agent, action, belief, mas, multi, behavior, defeasibilitie, defeasible, forager, language, maxi, prl, advice, algorithm, alife, brainstorm, btev, ccgolog, competitive, congolog, decision, environment, habituation, information, intelligent, niching, observable, plan, plannable, purposeful, queen, request, robocup, robot, self, uiml, uis, world","action, agent, environment, multi, policy, reinforcement_learning, reward, algorithm, learning, robot, deep, human, llm, planning","action, agent, algorithm, environment, multi, robot","deep, human, learning, llm, planning, policy, reinforcement_learning, reward","advice, alife, behavior, belief, brainstorm, btev, ccgolog, competitive, congolog, decision, defeasibilitie, defeasible, forager, habituation, information, intelligent, language, mas, maxi, niching"
cs,6,2000–2005,2020–2025,0.350163,0.649837,21,15,8,13,7,38.1,"packet, protocol, multicast, network, traffic, internet, mtus, multipoint, node, topology, wireless, algorithm, goodput, mobility, red, club, handoff, lan, link, routing, sensor","communication, network, node, packet, traffic, wireless, congestion, datum, link, service, delay, algorithm, aoi, dynamic, mobility","algorithm, link, mobility, network, node, packet, traffic, wireless","aoi, communication, congestion, datum, delay, dynamic, service","club, goodput, handoff, internet, lan, mtus, multicast, multipoint, protocol, red, routing, sensor, topology"
cs,7,2000–2005,2020–2025,0.31837,0.68163,28,14,5,23,9,17.86,"semantic, word, corpus, language, lexical, sentence, parser, verb, corpora, noun_modifier, parse, relation, syntactic, algorithm, analogy, basque, dop, information, japanese, lra, pair, paraconsistent_intuitionistic, paraphrase, phrase, subcategorization, tagger, vsm, wordnet","entity, language, relation, semantic, sentence, word, embedding, emotion, sentiment, representation, text, dataset, emotional, llm","language, relation, semantic, sentence, word","dataset, embedding, emotion, emotional, entity, llm, representation, sentiment, text","algorithm, analogy, basque, corpora, corpus, dop, information, japanese, lexical, lra, noun_modifier, pair, paraconsistent_intuitionistic, paraphrase, parse, parser, phrase, subcategorization, syntactic, tagger"
cs,8,2000–2005,2020–2025,0.382097,0.617903,28,15,5,23,10,17.86,"algorithm, polygon, convex, flipturn, point, polytope, polyhedron, unfolding, frd, log, piece, polylog_polylog, segment, bound, bucket, crease, dissection, distance, fractional_brownian, genus, hash, jones_constriction, peg_solitaire, quadric, quadrilateral_mesh, vec, vec_leq, venn_diagram","algorithm, frac, log_log, point, space, mathcal, mathcal_mathcal, cdot, mathbb_mathbb, set, log, mathbb, polygon, distance, line","algorithm, distance, log, point, polygon","cdot, frac, line, log_log, mathbb, mathbb_mathbb, mathcal, mathcal_mathcal, set, space","bound, bucket, convex, crease, dissection, flipturn, fractional_brownian, frd, genus, hash, jones_constriction, peg_solitaire, piece, polyhedron, polylog_polylog, polytope, quadric, quadrilateral_mesh, segment, unfolding"
cs,9,2000–2005,2020–2025,0.504938,0.495062,32,16,5,27,11,15.62,"datum, information, service, web, agent, grid, mining, enum, host, internet, management, privacy, server, access, archive, babar, business, constituent_datastream, digital, electronic_guidebook, gma, metadata, oais, oais_aip, observatory, registry, resource, timeline, tool, visitor, x11, xmltape","datum, information, privacy, security, iot, private, service, app, client, blockchain, learning, device, server, cloud, llm, risk","datum, information, privacy, server, service","app, blockchain, client, cloud, device, iot, learning, llm, private, risk, security","access, agent, archive, babar, business, constituent_datastream, digital, electronic_guidebook, enum, gma, grid, host, internet, management, metadata, mining, oais, oais_aip, observatory, registry"
